ID,start,end,length (sec)
0,0,44.1,44.1
1,44.1,150.2,106.1
2,150.2,282.7,132.5
3,282.7,323.2,40.5
4,323.2,374.4,51.2
5,374.4,548.9,174.5
6,548.9,910,361.1
7,910,951,41
8,951,984.8,33.8
9,984.8,1017.1,32.3
10,1017.1,1157.3,140.2
11,1157.3,1239.5,82.2
12,1239.5,1268.6,29.1
13,1268.6,1346.6,78
14,1346.6,1407.6,61
15,1407.6,1426.6,19
16,1426.6,1466.9,40.3
17,1466.9,1483.1,16.2
18,1483.1,1499.4,16.3
19,1499.4,1553.7,54.3
20,1553.7,2076.4,522.7
21,2076.4,2083.7,7.3
22,2083.7,2194.5,110.8
23,2194.5,2209.9,15.4
24,2209.9,2418.9,209
25,2418.9,2545.1,126.2
26,2545.1,2890.2,345.1
27,2890.2,2946.7,56.5
28,2946.7,2950.6,3.9
29,2950.6,3017.1,66.5
30,3017.1,3029.1,12
31,3029.1,3093.8,64.7
32,3093.8,3379.2,285.4
33,3379.2,3406.8,27.6
34,3406.8,3468.3,61.5
35,3468.3,3531.8,63.5
36,3531.8,3843.5,311.7
37,3843.5,3854.2,10.7
38,3854.2,3918.5,64.3
39,3918.5,3929,10.5
40,3929,3954.7,25.7
41,3954.7,3964.8,10.1
42,3964.8,3972,7.2
43,3972,3989.1,17.1
44,3989.1,4126.6,137.5
45,4126.6,4163.3,36.7
46,4163.3,4173.8,10.5
47,4173.8,4176.3,2.5
48,4176.3,4464,287.7
49,4464,4616.9,152.9
50,4616.9,4637.4,20.5
51,4637.4,4657.9,20.5
52,4657.9,4691.9,34
53,4691.9,4761.2,69.3
54,4761.2,5208.6,447.4
55,5208.6,5250.3,41.7
56,5250.3,5264.2,13.9
