ID,start,end,length (sec)
0,0,23.5,23.5
1,23.5,37.7,14.2
2,37.7,127,89.3
3,127,165.2,38.2
4,165.2,214.7,49.5
5,214.7,333.9,119.2
6,333.9,398.8,64.9
7,398.8,476.8,78
8,476.8,564.3,87.5
9,564.3,633.5,69.2
10,633.5,681.9,48.4
11,681.9,762.3,80.4
12,762.3,844.4,82.1
13,844.4,890.7,46.3
14,890.7,899.6,8.9
15,899.6,951.5,51.9
16,951.5,1013.1,61.6
17,1013.1,1137.6,124.5
18,1137.6,1207.3,69.7
19,1207.3,1229.3,22
20,1229.3,1310.6,81.3
21,1310.6,1537.8,227.2
22,1537.8,1601.1,63.3
23,1601.1,1664.9,63.8
24,1664.9,1712.5,47.6
25,1712.5,1730.9,18.4
26,1730.9,1776,45.1
27,1776,1872.1,96.1
28,1872.1,2017.4,145.3
29,2017.4,2197.4,180
30,2197.4,2574.3,376.9
31,2574.3,2727,152.7
32,2727,2753.6,26.6
33,2753.6,2934.6,181
34,2934.6,3006.2,71.6
35,3006.2,3044,37.8
36,3044,3201.2,157.2
37,3201.2,3268,66.8
38,3268,3310,42
39,3310,3327.2,17.2
40,3327.2,3595.7,268.5
41,3595.7,3656,60.3
42,3656,3705.3,49.3
43,3705.3,3850.4,145.1
44,3850.4,4038.6,188.2
45,4038.6,4103.1,64.5
46,4103.1,4158.7,55.6
47,4158.7,4168,9.3
48,4168,4362.4,194.4
49,4362.4,4381.4,19
50,4381.4,4400.8,19.4
51,4400.8,4426.4,25.6
52,4426.4,4433.4,7
53,4433.4,4437.5,4.1
54,4437.5,4446,8.5
55,4446,4481.2,35.2
56,4481.2,4566.7,85.5
57,4566.7,4585.4,18.7
58,4585.4,4627.4,42
59,4627.4,4650.2,22.8
60,4650.2,4664.1,13.9
61,4664.1,4708.5,44.4
62,4708.5,4747,38.5
63,4747,5051.2,304.2
64,5051.2,5060.2,9
65,5060.2,5158,97.8
66,5158,5242.7,84.7
67,5242.7,5305.5,62.8
68,5305.5,5372.4,66.9
69,5372.4,5394.3,21.9
70,5394.3,5470.2,75.9
71,5470.2,5485.4,15.2
