ID,start,end,length (sec)
0,0,302.2,302.2
1,302.2,359.1,56.9
2,359.1,389.4,30.3
3,389.4,514.7,125.3
4,514.7,559.1,44.4
5,559.1,580,20.9
6,580,640,60
7,640,863,223
8,863,892,29
9,892,1037.2,145.2
10,1037.2,1688.5,651.3
11,1688.5,1987.5,299
12,1987.5,2246.7,259.2
13,2246.7,2266.7,20
14,2266.7,2277.8,11.1
15,2277.8,2281.2,3.4
16,2281.2,2693.9,412.7
17,2693.9,2883.4,189.5
18,2883.4,2886.2,2.8
19,2886.2,2978.3,92.1
20,2978.3,2993.3,15
21,2993.3,3062.6,69.3
22,3062.6,3075.9,13.3
23,3075.9,3110.7,34.8
24,3110.7,3118.3,7.6
25,3118.3,3123.3,5
26,3123.3,3142.9,19.6
27,3142.9,3191.7,48.8
28,3191.7,3270.5,78.8
29,3270.5,3294.9,24.4
30,3294.9,3495.1,200.2
31,3495.1,3561.3,66.2
32,3561.3,3582.7,21.4
33,3582.7,3643.3,60.6
34,3643.3,3677.6,34.3
35,3677.6,3739.2,61.6
36,3739.2,3762.6,23.4
37,3762.6,3767.8,5.2
38,3767.8,3877.8,110
39,3877.8,3901.5,23.7
40,3901.5,3907.5,6
41,3907.5,3919.4,11.9
42,3919.4,4640.4,721
43,4640.4,4649.6,9.2
44,4649.6,4833.7,184.1
45,4833.7,4872.7,39
46,4872.7,4904.8,32.1
47,4904.8,4945.5,40.7
48,4945.5,4958.5,13
49,4958.5,5403.4,444.9
50,5403.4,5467.6,64.2
51,5467.6,5534.8,67.2
52,5534.8,5541.5,6.7
53,5541.5,5550.4,8.9
