ID,start,end,length (sec)
0,0,75.9,75.9
1,75.9,157.8,81.9
2,157.8,158.9,1.1
3,158.9,534.1,375.2
4,534.1,635.2,101.1
5,635.2,643.8,8.6
6,643.8,789.3,145.5
7,789.3,792.4,3.1
8,792.4,894.9,102.5
9,894.9,1037.5,142.6
10,1037.5,1232.5,195
11,1232.5,1266.2,33.7
12,1266.2,1277.9,11.7
13,1277.9,1310.8,32.9
14,1310.8,1398.4,87.6
15,1398.4,1964.3,565.9
16,1964.3,2064.4,100.1
17,2064.4,2079.9,15.5
18,2079.9,2253.5,173.6
19,2253.5,2572.8,319.3
20,2572.8,2586.3,13.5
21,2586.3,2670.9,84.6
22,2670.9,2706.3,35.4
23,2706.3,2900.7,194.4
24,2900.7,2934.3,33.6
25,2934.3,2937.3,3
26,2937.3,2997.3,60
27,2997.3,3219.4,222.1
28,3219.4,3268.2,48.8
29,3268.2,3512.5,244.3
30,3512.5,3606.4,93.9
31,3606.4,3713.4,107
32,3713.4,4035,321.6
33,4035,4063.7,28.7
34,4063.7,4078.2,14.5
35,4078.2,4101.3,23.1
36,4101.3,4133.5,32.2
37,4133.5,4162.9,29.4
38,4162.9,4273.7,110.8
39,4273.7,4525.3,251.6
40,4525.3,4531.4,6.1
41,4531.4,4555,23.6
42,4555,4902.4,347.4
43,4902.4,4912,9.6
44,4912,4991.4,79.4
45,4991.4,5078.3,86.9
46,5078.3,5245.7,167.4
47,5245.7,5254.9,9.2
