ID,start,end,length (sec)
0,0,98.7,98.7
1,98.7,266.2,167.5
2,266.2,319.4,53.2
3,319.4,361.5,42.1
4,361.5,458.9,97.4
5,458.9,501,42.1
6,501,815,314
7,815,850.5,35.5
8,850.5,858.5,8
9,858.5,1041.2,182.7
10,1041.2,1094.8,53.6
11,1094.8,1099,4.2
12,1099,1161.3,62.3
13,1161.3,1171.7,10.4
14,1171.7,1214.1,42.4
15,1214.1,1644.9,430.8
16,1644.9,1840.2,195.3
17,1840.2,2699.2,859
18,2699.2,2814.8,115.6
19,2814.8,3161.7,346.9
20,3161.7,3183.4,21.7
21,3183.4,3209.4,26
22,3209.4,3227.5,18.1
23,3227.5,3234.6,7.1
24,3234.6,3284.3,49.7
25,3284.3,3330.7,46.4
26,3330.7,3349.4,18.7
27,3349.4,3466.7,117.3
28,3466.7,3522.5,55.8
29,3522.5,3575.9,53.4
30,3575.9,3594.5,18.6
31,3594.5,3603.5,9
32,3603.5,3618.4,14.9
33,3618.4,3667.6,49.2
34,3667.6,3673.1,5.5
35,3673.1,3804.9,131.8
36,3804.9,3838.7,33.8
37,3838.7,3850.1,11.4
38,3850.1,3962.8,112.7
39,3962.8,4128,165.2
40,4128,4138.6,10.6
41,4138.6,4144.2,5.6
42,4144.2,4169.3,25.1
43,4169.3,4246.3,77
44,4246.3,4249.7,3.4
45,4249.7,4262.8,13.1
46,4262.8,4266,3.2
47,4266,4295.7,29.7
48,4295.7,4300.8,5.1
49,4300.8,4312.4,11.6
50,4312.4,4765.3,452.9
51,4765.3,4782.1,16.8
52,4782.1,4812.9,30.8
53,4812.9,4844.6,31.7
54,4844.6,4916,71.4
55,4916,4931.4,15.4
56,4931.4,4990.9,59.5
57,4990.9,4995.8,4.9
58,4995.8,5046.9,51.1
59,5046.9,5093.4,46.5
60,5093.4,5106.8,13.4
