ID,start,end,length (sec)
0,0,15.9,15.9
1,15.9,292.2,276.3
2,292.2,329.6,37.4
3,329.6,345.6,16
4,345.6,682.5,336.9
5,682.5,740.6,58.1
6,740.6,1237.1,496.5
7,1237.1,1510.2,273.1
8,1510.2,1895.7,385.5
9,1895.7,1952.6,56.9
10,1952.6,1994.6,42
11,1994.6,2193.7,199.1
12,2193.7,2492.5,298.8
13,2492.5,2512.4,19.9
14,2512.4,2545.1,32.7
15,2545.1,2610.5,65.4
16,2610.5,2899.8,289.3
17,2899.8,3277.9,378.1
18,3277.9,3782.9,505
19,3782.9,4215.2,432.3
20,4215.2,4246,30.8
21,4246,4250,4
22,4250,4285.9,35.9
23,4285.9,4308.3,22.4
24,4308.3,4321.6,13.3
25,4321.6,4333.9,12.3
26,4333.9,4419.2,85.3
